,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
163,mouzakion,OM,1612591438,17.0151,54.0924,77.0,57,40,6.91
164,mouzakion,SD,1612591439,16.1525,36.2032,62.96,34,0,9.33
165,mouzakion,LR,1612591439,4.375,-7.7169,78.62,91,55,6.11
166,mouzakion,VE,1612591439,11.6581,-70.215,76.48,82,99,22.66
167,mouzakion,KE,1612591440,3.1191,35.5973,85.73,35,34,5.88
168,mouzakion,TH,1612591441,8.4509,98.5298,91.4,55,20,17.27
169,mouzakion,RU,1612591247,68.0531,39.5131,16.03,95,100,9.15
170,mouzakion,MN,1612591331,48.0056,91.6419,20.46,79,21,4.16
171,mouzakion,BR,1612591300,-4.3589,-39.3117,70.54,91,46,1.45
172,mouzakion,BR,1612591154,-22.9661,-42.0278,73.51,94,100,10.96
173,mouzakion,CA,1612591444,55.1001,-105.2842,-22.0,69,15,5.75
174,mouzakion,RU,1612591445,54.8455,46.3297,-1.7,91,100,13.62
175,mouzakion,NZ,1612591446,-45.4167,167.7167,74.39,46,3,3.44
176,mouzakion,CA,1612591446,50.8331,-118.9856,30.2,80,81,1.14
177,mouzakion,AU,1612591290,-23.7,133.8833,89.6,22,68,14.97
178,mouzakion,ZA,1612591447,-33.0117,17.9442,64.4,88,0,11.5
179,mouzakion,TD,1612591281,13.6408,16.4901,60.17,32,14,13.96
180,mouzakion,CF,1612591449,4.6228,21.8865,72.55,35,31,3.91
181,mouzakion,VN,1612591449,16.0678,108.2208,77.0,69,75,9.22
182,mouzakion,NU,1612591160,-19.0595,-169.9187,78.8,83,100,8.05
183,mouzakion,MN,1612591450,49.0333,104.0833,7.47,90,24,3.2
184,mouzakion,AU,1612591452,-35.1167,139.2667,68.0,74,78,11.01
185,mouzakion,GF,1612591453,4.9333,-52.3333,78.8,89,90,8.05
186,mouzakion,ID,1612591453,-3.8004,102.2655,86.13,62,62,10.6
187,mouzakion,NA,1612591368,-28.55,16.4333,63.12,83,3,10.98
188,mouzakion,RU,1612591454,54.4815,53.471,17.01,96,100,11.27
189,mouzakion,AU,1612591454,-23.1333,150.7333,93.2,38,78,14.97
190,mouzakion,ET,1612591455,9.3167,41.45,61.02,34,17,4.47
191,mouzakion,RU,1612591455,42.4308,130.6434,28.18,98,100,7.61
192,mouzakion,CZ,1612591455,49.0998,17.7575,35.01,92,100,2.28
193,mouzakion,CL,1612591326,-45.5752,-72.0662,62.6,55,0,8.05
194,mouzakion,MU,1612591456,-20.2078,57.7625,78.01,94,75,6.91
195,mouzakion,PH,1612591175,7.9986,124.2928,84.0,76,66,1.99
196,mouzakion,MM,1612591457,20.15,92.9,76.95,35,0,7.7
197,mouzakion,ES,1612591457,41.8484,3.1291,53.01,93,90,8.05
198,mouzakion,SO,1612591458,5.3505,48.5268,79.03,65,27,20.04
199,mouzakion,RU,1612591459,69.7008,170.3133,-11.18,86,100,3.11
200,mouzakion,CK,1612591264,-21.2078,-159.775,80.6,78,30,3.44
201,mouzakion,BR,1612591460,-6.9811,-34.8339,75.2,94,20,2.3
202,mouzakion,RU,1612591460,50.6789,156.125,15.58,82,71,8.95
203,mouzakion,IT,1612591461,41.4853,12.6179,55.99,62,0,4.0
204,mouzakion,BR,1612591461,-30.1811,-50.2056,65.84,78,11,9.93
205,mouzakion,CA,1612591461,48.3835,-77.2328,19.4,86,90,12.66
206,mouzakion,CN,1612591462,41.1231,80.2644,41.11,54,42,2.66
207,mouzakion,SO,1612591462,8.4054,48.4845,70.84,59,23,13.89
208,mouzakion,IR,1612591441,32.3256,50.8644,50.0,37,40,6.91
209,mouzakion,MZ,1612591286,-23.865,35.3833,80.6,83,40,4.61
210,mouzakion,RO,1612591464,46.4333,26.4,32.0,76,100,0.94
211,mouzakion,RU,1612591466,47.8861,134.9464,-1.77,91,100,7.49
212,mouzakion,US,1612591389,40.6916,-112.0011,35.6,75,1,4.61
213,mouzakion,PK,1612591466,29.7994,66.845,54.55,26,0,1.99
214,mouzakion,MX,1612591467,16.5167,-98.75,74.46,81,6,4.0
215,mouzakion,SL,1612591467,7.5264,-12.505,75.42,85,1,3.76
216,mouzakion,ML,1612591468,22.6783,-3.9836,65.37,30,100,9.01
217,mouzakion,GE,1612591468,41.9563,42.9566,46.4,87,90,6.91
218,mouzakion,PT,1612591469,37.7167,-25.4333,57.2,88,40,10.36
219,mouzakion,LK,1612591469,5.9485,80.5353,88.52,54,37,0.92
220,mouzakion,AU,1612591470,-32.7167,152.15,73.0,100,90,8.05
221,mouzakion,AU,1612591470,-34.6833,150.8667,77.0,91,100,8.01
222,mouzakion,IS,1612591470,63.8424,-22.4338,35.6,75,40,23.02
223,mouzakion,BO,1612591471,-20.4167,-63.2833,69.15,62,87,2.44
224,mouzakion,RU,1612591334,64.5667,143.2,-11.92,81,100,3.71
225,mouzakion,RU,1612591472,67.45,153.6833,-17.41,86,58,1.63
226,mouzakion,PG,1612591473,-2.5744,150.7967,83.98,69,37,3.49
227,mouzakion,MU,1612591297,-20.3428,57.7575,78.01,94,75,6.91
228,mouzakion,AU,1612591182,-12.0667,134.2667,75.76,88,100,13.22
229,mouzakion,SO,1612591473,7.9803,49.8164,78.69,59,38,14.83
230,mouzakion,MG,1612591474,-20.2833,44.2833,84.43,73,100,4.92
231,mouzakion,ES,1612591474,27.9054,-15.4461,57.0,71,40,4.61
232,mouzakion,PT,1612591198,39.05,-27.9833,58.55,85,91,18.75
233,mouzakion,CD,1612591259,-10.9814,26.7333,64.38,94,100,1.45
234,mouzakion,AR,1612591476,-41.1456,-71.3082,59.0,55,0,5.75
235,mouzakion,BR,1612591476,-29.6842,-53.8069,56.5,90,0,2.13
236,mouzakion,CA,1612591477,63.7506,-68.5145,19.4,79,40,13.8
237,mouzakion,RU,1612591477,51.3978,83.5598,33.69,89,86,0.6
238,mouzakion,CA,1612591478,60.7522,-137.5108,-14.8,76,100,2.3
239,mouzakion,PH,1612591479,20.4487,121.9702,73.06,84,81,19.75
240,mouzakion,BR,1612591480,-8.0089,-34.8553,78.8,69,40,4.61
241,mouzakion,UZ,1612591481,40.4272,71.7189,46.4,49,100,4.61
242,mouzakion,RE,1612591481,-21.3393,55.4781,86.0,62,20,5.75
243,mouzakion,LY,1612591481,32.767,22.6367,58.37,64,45,2.28
244,mouzakion,PG,1612591482,-4.0625,144.0661,90.52,57,47,4.74
245,mouzakion,BO,1612591482,-19.0333,-65.2627,55.35,79,100,5.5
246,mouzakion,RU,1612591268,54.4299,31.8996,-4.86,92,72,7.9
247,mouzakion,CV,1612591483,14.9215,-23.5087,68.0,73,75,20.71
248,mouzakion,CV,1612591483,15.1333,-23.2167,68.0,73,75,20.71
249,mouzakion,CN,1612591483,41.7597,86.1469,37.85,61,88,2.98
250,mouzakion,TZ,1612591484,-3.9167,37.4833,78.4,62,35,3.24
251,mouzakion,IN,1612591484,10.5669,72.642,80.87,76,16,12.88
252,mouzakion,LK,1612591485,6.1241,81.1185,84.2,79,75,4.61
253,mouzakion,PT,1612591485,37.3191,-8.8033,52.0,100,66,5.01
254,mouzakion,MN,1612591477,49.4867,105.9228,10.56,89,24,6.06
255,mouzakion,AR,1612591347,-51.6226,-69.2181,42.8,65,0,8.05
256,mouzakion,IN,1612591486,26.0167,93.7833,79.29,34,0,5.01
257,mouzakion,MR,1612591486,20.5169,-13.0499,51.42,73,99,7.02
258,mouzakion,MV,1612591487,-0.6,73.0833,82.69,76,90,16.31
259,mouzakion,PG,1612591487,-2.0226,147.2712,82.96,75,84,7.56
260,mouzakion,GL,1612591487,64.1835,-51.7216,19.4,68,65,18.41
261,mouzakion,FI,1612591488,63.3167,30.0167,5.5,92,79,7.18
262,mouzakion,BR,1612591488,-4.2761,-55.9836,73.33,96,100,1.79
263,mouzakion,CA,1612591356,53.2835,-110.0016,-23.8,69,1,8.05
264,mouzakion,VU,1612591489,-15.5333,167.1667,82.74,72,96,6.26
265,mouzakion,AR,1612591436,-29.15,-59.65,64.45,63,0,3.27
266,mouzakion,TR,1612591489,41.052,39.2284,50.0,71,40,8.05
267,mouzakion,BR,1612591270,-32.035,-52.0986,62.01,91,64,10.92
268,mouzakion,US,1612591490,33.194,-82.5271,46.4,66,90,3.44
269,mouzakion,MX,1612591490,17.6667,-96.1333,69.8,51,0,3.56
270,mouzakion,JP,1612591491,33.7333,135.9833,57.2,47,40,5.75
271,mouzakion,US,1612591327,45.0205,-93.218,3.2,66,1,10.36
272,mouzakion,RU,1612591491,44.0306,145.8556,32.59,95,100,2.73
273,mouzakion,PG,1612591334,-3.6667,152.4333,81.55,75,93,3.94
274,mouzakion,SD,1612591492,14.2,24.6667,48.52,49,49,14.88
